z	Ep	BV	Adr	Dec	SS	KD	GAM	Puf	NMZ	Gattung neu	Gattung alt	ID	Ordnungsnummer	RBD oder Bezirk	BW	Hst	Artikelnummer	Set	LüP	Datum	Ohne OVP	Zust	Kaufpreis	Quelle	Anmerkung
;Dampfloks
	II	DRG		N025	Ohne	-	-	-	-		B12 KVT	L64	SVT 137 853 a+b+c	Berlin	Berlin Ahb	HT	16061		297			gebr		ebay	
	II	DRG		Ohne Motor	Ohne	-	-	-	-		B12 KVT	L65	SVT 137 853 a+b+c	Berlin	Berlin Ahb	HT	16061		297	01.03.2013		gebr	82,29	ebay	Motor ausgebaut für Doppeltraktion
	IV	DR			NEM652	-	-	-	-	SVT175		L151	175 011-6
175 411-8
175 311-0
175 5...-.
175 012-4	Berlin	Karlshorst	Ka	10745-1		750	25.07.2025		neu	155	Modellbahn Bertram	5teilig. Kauf war 6teilig - Überschuss Verkauf 73213 - 2 Mittelwagen (50€) und 1 Mittelwagen dieses Sets (50€)
	IV	DR		N025	Ohne	-	-	-	-	SVT175		L152	175 009-0
175 010-8
175 309-4
175 409-2	Berlin	Karlshorst	Ka	73712		606	01.04.2013		neu	141	dm-Toys	4teilg
;Elloks
	II	DRG		geplant U73410	NEM651	-	-	-	-	E04		L66	E 04 05	Halle	Leipzig-West	HN	2134		95	28.04.2023		neuw	125,5	1zu160	
	IV	DR		N025	NEM651	-	-	-	-	E04		L153	204 011-1	Halle	Leipzig Hbf West	HN	2138		95	30.01.2017		neu	94	ebay	
	II	DRG		DH18A	Next18	-	-	-	-	E17		L67	E 17 113			HT	2890		100	19.08.2021		neuw	153,76	ebay	
	II	DRG		DH18A	Plux12	-	-	-	-	E18		L68	E 18 39			Pi	40303		106	13.05.2017		neu	102	Lippe	
	IV	DR		U73340	Plux12	-	-	-	-	E18		L154	218 019-8	Halle	Halle P	Pi	40302		106	20.06.2021		neu	108,99	ebay 	
	II	DRG		ESU...	NEM651	-	-	-	-	E19.0		L69	E 19 02	Nürnberg	Nürnberg Hbf	Fl	877914		106	01.06.2026		neuw	125,7	ebay	Mit ESU-Decoder (-30€) und 2xKK (-3€)
	II	DRG			Ohne	-	-	-	-	E19.1		L70	E 19 11	Nürnberg	Nürnberg Hbf	Ar	2491		116	29.08.2023		gebr	89	ebay	
	II	DRG		geplant U73410	NEM651	-	-	-	-	E32	EP2	L71	E 32 108			Fl	737001		81	15.03.2025		neuw	145,8	ebay	
	II	DRG		DH10C	NEM651	-	-	-	-	E36	EP3	L72	E 36 01	München	Freilassing	Tr	12462		77	18.11.2021		neu	133,44	ebay	Decoder eingelötet (Wackelschnittstelle). In Packung Analogstecker und "elektronischer" Analogstecker
	II	DRG		DH18A	Next18	-	-	-	-	E44.5		L73	E 44 103			Li	162540		86	17.07.2021		neuw	104,28	ebay	
	II	DRG		DH18A	Next18	-	-	-	-	E44		L74	E 44 019			Br	63100		95,6	28.06.2018		neu	143,91	Lokmuseum	
	II	DRG		685503	NEM651	x	-	-	-	E69		L75	E 69 05			Fl	737101		54	28.03.2023		neuw	115,5	ebay	Verpackung 737171, ist aber 737101, hat aber Decoder Fleischmann
	IV	DR		Noch einbauen	Next18	-	-	-	-	211		L155	211 036-9	Halle	Leipzig Hbf West	HN	2275.0	2275	102	09.01.2018		neu	139,99	MBFn	
	IV	DR		Hat einen, welcher?	Next18	-	-	-	-	211		L156	211 048-4			Br	63019		102	17.01.2023		neuw	135,49	ebay	Kombination Arnold-Fahrwerk und Brawa-Gehäuse 63019
	IV	DR		Ja, welcher?	Next18	x	-	-	-	242		L157	242 005-7	Dresden	Dresden	HN	2524D		102	07.11.2024		neuw	130	1zu160	
	IV	DR			Ohne	-	-	-	-	242		L158	242 089-1	Erfurt	Erfurt	Br	1201		102	29.01.1999		gebr	74,1373227734517	MBFp	
	III	DR		DH18A	Next18	-	-	-	-	242		L159	E 42 011	Halle	Halle P	HN	2273		102	12.08.2020		neu	106,9	MSL	
	IV	DR		ESU	Next18	-	-	-	-	230		L160	230 011-9	Dresden	Dresden	Kü	95024		105	19.10.2023		neu	114,98	dm-toys	
