z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		II	Mitropa	-	WR4ü-29		1045	P157		Tr	15859.4	15859	147	12.08.2011	14,2583333333333	ebay			
		II	Mitropa	-	WR4ü-29		1052	P158		Tr	15710.4	15710	147	09.08.2011	26,7125	ebay			
x		II	Mitropa	-	WR4ü-29		1052	P159		Tr	15710.4	15710	147	04.12.2011	21,625	ebay			
x		II	Mitropa	-	WR4ü-29		1052	P160		Tr	15710.4	15710	147	07.12.2011	21,8	ebay			
;Henschel-Wegmann
		II	DRG	-	SWRPwPost4ü-35	Berlin	10 401	P161		Ar	0166.1	0166	136	15.06.2002	15	MBFn		Dresden Hbf - Berlin Ahb	Lok mit 70€ bewertet
		II	DRG	-	SBC4ü-35	Berlin	10 402	P162		Ar	0166.2	0166	132	15.06.2002	15	MBFn		Dresden Hbf - Berlin Ahb	
		II	DRG	-	SBC4ü-35	Berlin	10 403	P163		Ar	0166.3	0166	132	15.06.2002	15	MBFn		Dresden Hbf - Berlin Ahb	
		II	DRG	-	SBC4ü-35e	Berlin	10 404	P164		Ar	0166.4	0166	136	15.06.2002	15	MBFn	?	Dresden Hbf - Berlin Ahb	
;Einheits-Schnellzugwagen Gruppe 35 (braungrün)
		II	DRG	-	AB4ü-35	München		P165	¨	Fl	863102		135	30.10.2020	32,77	SMDV			
		II	DRG	-	C4ü-35	München	16587	P166	¨	Fl	863203		135	30.09.2020	29,33	SMDV		Berlin-Leipzig-Hof-Regensburg-München-Berchtesgaden	
		II	DRG	-	C4ü-35	München	16600	P167	¨	Fl	863204		135	30.09.2020	29,85	SMDV		Berlin-Leipzig-Hof-Regensburg-München-Berchtesgaden	
		II	DRG	-	WR4ü-35	Mitropa	1130	P168	¨	Fl			135	30.09.2020	30,74	SMDV		Berlin-Halle-Probstzella-Nürnberg-Augsburg-München	
;Einheits-Schnellzugwagen Gruppe 35 (flaschengrün)
		II	DRG	-	Pw4ü-37	München	105 731	P169		Fl	878880		135	04.09.2011	30,89	Modellbahn-Kramm			
x		II	DRG	-	Pw4ü-37	München 	105 731	P170		Fl	878880		135	08.08.2015	20,65	ebay 			
		II	DRG	-	AB4ü-35	München	11 623	P171		Fl	878881		135	08.08.2015	20,65	ebay			
		II	DRG	x	AB4ü-35	München	11 623	P172		Fl	878881		135	09.07.2025	8,86333333333334	ebay			Mit Profikupplung (-2€) minus verkaufter Pw4ü-37 (-13€ und dessen KK -2€)
		II	DRG	-	C4ü-35	München	16 579	P173		Fl	878883		135	29.08.2011	22,9	Lokmuseum	?		
		II	DRG	-	C4ü-35	München	16 579	P174		Fl	878883		135	29.08.2011	22,9	Lokmuseum	?		
x		II	DRG	-	C4ü-35	München 	16 579	P175		Fl	878883		135	08.08.2015	20,65	Ebay	?		
x		II	DRG	-	C4ü-35	München 	16 579	P176		Fl	878883		135	08.08.2015	20,65	Ebay	?		
x		II	DRG	-	C4ü-35	München	16 582	P177		Fl	878884		135	08.08.2015	20,65	ebay 			
		II	DRG	-	C4ü-35	München	16 582	P178		Fl	878884		135	08.08.2015	20,65	ebay			
;Einheits-Schnellzugwagen Gruppe 38 (Schürzenwagen)
